;pair_id;year;iso3_o;iso3_d;fwd_log_mig;o_sl_uem_totl_zs;o_sp_pop_0014_to_zs;sfi_sfi;pol4_autoc;o_IT_CEL_SETS_P2;o_IT_NET_USER_P2;o_number_weather;o_number_nonweather;mig_stock_tot;o_French;o_Spanish;o_English;d_GDP;d_pop;o_GDP;o_pop;Set
62;177;2009;0;6;3.3672957;8.6;25.134405;2.0;0.0;131.1294492;34.0;4;2;9.678758;0.0;0.99;0.0;149.90799;10.443934;269.04706;40.798637;1
63;177;2010;0;6;3.0910425;7.7;24.876331;2.0;0.0;141.383022;45.0;1;0;9.678758;0.0;0.99;0.0;153.34898;10.47441;294.47595;41.222878;1
64;177;2011;0;6;3.1354942;7.2;24.636627;3.0;0.0;149.0906224;51.0;0;1;9.678758;0.0;0.99;0.0;156.36003;10.496089;319.17194;41.655613;1
65;177;2012;0;6;3.0910425;7.2;24.415052;2.0;0.0;156.564756;55.8;3;0;116.0;0.0;0.99;0.0;155.09604;10.510786;321.73105;42.09522;1
66;177;2013;0;6;3.1780539;7.5;24.233953;1.0;0.0;162.5274217;59.9;2;0;126.0;0.0;0.99;0.0;154.00798;10.514273;331.01404;42.5383;2
67;177;2014;0;6;3.2580965;9.678758;9.678758;1.0;0.0;146.4823886;64.7;3;1;126.0;0.0;0.99;0.0;157.07503;10.510566;332.56702;42.980026;0
68;178;2004;0;7;6.64379;12.6;26.647324;4.0;0.0;35.27228837;16.03668411;3;0;4725.0;0.0;0.99;0.0;2837.5803;82.51626;204.13399;38.728775;1
69;178;2005;0;7;6.786717;10.6;26.3217;2.0;0.0;57.32899426;17.72058337;1;0;4745.0;0.0;0.99;0.0;2857.6301;82.469406;222.91101;39.14549;1
70;178;2006;0;7;6.851185;10.1;26.007032;2.0;0.0;80.81882641;20.9272021;1;0;4648.0;0.0;0.99;0.0;2963.65;82.37646;241.642;39.558746;1
71;178;2007;0;7;6.81564;8.5;25.702198;2.0;0.0;102.7215283;25.94663294;3;0;4634.0;0.0;0.99;0.0;3060.5503;82.26639;260.88998;39.969906;1
72;178;2008;0;7;6.799056;7.8;25.410353;2.0;0.0;117.2211834;28.11262348;1;1;4547.0;0.0;0.99;0.0;3092.749;82.1101;268.912;40.381863;1
73;178;2009;0;7;6.8265452;8.6;25.134405;2.0;0.0;131.1294492;34.0;4;2;4608.0;0.0;0.99;0.0;2918.3901;81.902306;269.04706;40.798637;1
74;178;2010;0;7;6.896694;7.7;24.876331;2.0;0.0;141.383022;45.0;1;0;4574.0;0.0;0.99;0.0;3037.7698;81.77692;294.47595;41.222878;1
75;178;2011;0;7;6.930495;7.2;24.636627;3.0;0.0;149.0906224;51.0;0;1;4715.0;0.0;0.99;0.0;3146.829;81.79767;319.17194;41.655613;1
76;178;2012;0;7;6.9884133;7.2;24.415052;2.0;0.0;156.564756;55.8;3;0;4826.0;0.0;0.99;0.0;3158.6694;80.42582;321.73105;42.09522;1
77;178;2013;0;7;6.9865665;7.5;24.233953;1.0;0.0;162.5274217;59.9;2;0;4613.0;0.0;0.99;0.0;3162.0088;80.6456;331.01404;42.5383;2
78;178;2014;0;7;6.979145;9.678758;9.678758;1.0;0.0;146.4823886;64.7;3;1;4685.0;0.0;0.99;0.0;3212.7407;80.8895;332.56702;42.980026;0
79;179;2004;0;8;3.295837;12.6;26.647324;4.0;0.0;35.27228837;16.03668411;3;0;9.678758;0.0;0.99;0.0;258.26596;5.404523;204.13399;38.728775;1
80;179;2005;0;8;3.295837;10.6;26.3217;2.0;0.0;57.32899426;17.72058337;1;0;9.678758;0.0;0.99;0.0;264.56006;5.4194317;222.91101;39.14549;1
81;179;2006;0;8;3.7612002;10.1;26.007032;2.0;0.0;80.81882641;20.9272021;1;0;9.678758;0.0;0.99;0.0;274.60403;5.437272;241.642;39.558746;1
82;179;2007;0;8;3.3672957;8.5;25.702198;2.0;0.0;102.7215283;25.94663294;3;0;9.678758;0.0;0.99;0.0;276.868;5.461438;260.88998;39.969906;1
83;179;2008;0;8;3.295837;7.8;25.410353;2.0;0.0;117.2211834;28.11262348;1;1;9.678758;0.0;0.99;0.0;274.87994;5.4936213;268.912;40.381863;1
84;179;2009;0;8;3.1354942;8.6;25.134405;2.0;0.0;131.1294492;34.0;4;2;302.0;0.0;0.99;0.0;260.89496;5.5230947;269.04706;40.798637;1
85;179;2010;0;8;3.6888795;7.7;24.876331;2.0;0.0;141.383022;45.0;1;0;304.0;0.0;0.99;0.0;265.13403;5.547683;294.47595;41.222878;1
86;179;2011;0;8;3.5553482;7.2;24.636627;3.0;0.0;149.0906224;51.0;0;1;318.0;0.0;0.99;0.0;268.189;5.570572;319.17194;41.655613;1
87;179;2012;0;8;4.0775375;7.2;24.415052;2.0;0.0;156.564756;55.8;3;0;335.0;0.0;0.99;0.0;266.43204;5.591572;321.73105;42.09522;1
88;179;2013;0;8;4.553877;7.5;24.233953;1.0;0.0;162.5274217;59.9;2;0;381.0;0.0;0.99;0.0;265.13605;5.6149325;331.01404;42.5383;2
